Cosmology WMAP:,  71, 0.27, 0.73, 0.
      z,       DA (Mpc)
      0.0836,  320.1358
      0.0837,  320.4770
      0.0838,  320.8265
      0.0839,  321.1759
      0.0840,  321.5166
      0.0841,  321.8657
      0.0842,  322.2147
      0.0843,  322.5550
      0.0844,  322.9037
      0.0845,  323.2523
      0.0846,  323.5922
      0.0847,  323.9405
      0.0848,  324.2887
      0.0849,  324.6282
      0.0850,  324.9761
      0.0851,  325.3239
      0.0852,  325.6715
      0.0853,  326.0106
      0.0854,  326.3579
      0.0855,  326.7051
      0.0856,  327.0522
      0.0857,  327.3907
      0.0858,  327.7375
      0.0859,  328.0843
      0.0860,  328.4308
      0.0861,  328.7688
      0.0862,  329.1151
      0.0863,  329.4612
      0.0864,  329.8073
      0.0865,  330.1532
      0.0866,  330.4905
      0.0867,  330.8362
      0.0868,  331.1817
      0.0869,  331.5270
      0.0870,  331.8723
      0.0871,  332.2174
      0.0872,  332.5539
      0.0873,  332.8988
      0.0874,  333.2435
      0.0875,  333.5881
      0.0876,  333.9325
      0.0877,  334.2768
      0.0878,  334.6210
      0.0879,  334.9566
      0.0880,  335.3005
      0.0881,  335.6444
      0.0882,  335.9880
      0.0883,  336.3315
      0.0884,  336.6749
      0.0885,  337.0182
      0.0886,  337.3613
      0.0887,  337.7043
      0.0888,  338.0472
      0.0889,  338.3899
      0.0890,  338.7325
      0.0891,  339.0750
      0.0892,  339.4173
      0.0893,  339.7595
      0.0894,  340.1016
      0.0895,  340.4436
      0.0896,  340.7854
      0.0897,  341.1271
      0.0898,  341.4686
      0.0899,  341.8100
      0.0900,  342.1513
      0.0901,  342.4925
      0.0902,  342.8336
      0.0903,  343.1745
      0.0904,  343.5152
      0.0905,  343.8558
      0.0906,  344.1963
      0.0907,  344.5367
      0.0908,  344.8769
      0.0909,  345.2171
      0.0910,  345.5571
      0.0911,  345.8969
      0.0912,  346.2366
      0.0913,  346.5762
      0.0914,  346.9241
      0.0915,  347.2634
      0.0916,  347.6027
      0.0917,  347.9417
      0.0918,  348.2806
      0.0919,  348.6194
      0.0920,  348.9581
      0.0921,  349.2967
      0.0922,  349.6435
      0.0923,  349.9818
      0.0924,  350.3199
      0.0925,  350.6580
      0.0926,  350.9959
      0.0927,  351.3336
      0.0928,  351.6797
      0.0929,  352.0171
      0.0930,  352.3546
      0.0931,  352.6918
      0.0932,  353.0373
      0.0933,  353.3743
      0.0934,  353.7111
      0.0935,  354.0479
      0.0936,  354.3845
      0.0937,  354.7293
      0.0938,  355.0657
      0.0939,  355.4019
      0.0940,  355.7380
      0.0941,  356.0822
      0.0942,  356.4181
      0.0943,  356.7538
      0.0944,  357.0977
      0.0945,  357.4332
      0.0946,  357.7685
      0.0947,  358.1037
      0.0948,  358.4471
      0.0949,  358.7820
      0.0950,  359.1168
      0.0951,  359.4597
      0.0952,  359.7944
      0.0953,  360.1288
      0.0954,  360.4714
      0.0955,  360.8055
      0.0956,  361.1479
      0.0957,  361.4818
      0.0958,  361.8155
      0.0959,  362.1574
      0.0960,  362.4911
      0.0961,  362.8244
      0.0962,  363.1660
      0.0963,  363.4991
      0.0964,  363.8404
      0.0965,  364.1732
      0.0966,  364.5143
      0.0967,  364.8470
      0.0968,  365.1795
      0.0969,  365.5201
      0.0970,  365.8524
      0.0971,  366.1927
      0.0972,  366.5247
      0.0973,  366.8649
      0.0974,  367.1966
      0.0975,  367.5365
      0.0976,  367.8680
      0.0977,  368.2076
      0.0978,  368.5388
      0.0979,  368.8782
      0.0980,  369.2091
      0.0981,  369.5482
      0.0982,  369.8790
      0.0983,  370.2178
      0.0984,  370.5482
      0.0985,  370.8868
      0.0986,  371.2170
      0.0987,  371.5554
      0.0988,  371.8853
      0.0989,  372.2234
      0.0990,  372.5614
      0.0991,  372.8909
      0.0992,  373.2286
